标题,标题链接,时间
中国大量买入巴西大豆,http://www.cnagri.com/lypd/lyzx/dadou/20211117/414105.html,2021-11-17
农业农村部：国内猪肉、蔬菜价格小幅上涨 国际大宗农产品价格涨跌互现,http://www.cnagri.com/lypd/lyzx/dadou/20211117/414104.html,2021-11-17
中国正在购买更多巴西大豆，美国出口旺季遭截流,http://www.cnagri.com/lypd/lyzx/dadou/20211118/414103.html,2021-11-18
"美国农业部：私人出口商报告对中国销售132,000吨大豆",http://www.cnagri.com/lypd/lyzx/dadou/20211118/414101.html,2021-11-18
截至11月11日当周，中国从美国买入72.8万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20211119/414099.html,2021-11-19
10月份中国从美国进口的大豆数量同比急剧下滑,http://www.cnagri.com/lypd/lyzx/dadou/20211122/414098.html,2021-11-22
农业农村部：10月份大豆供需形势分析月报,http://www.cnagri.com/lypd/lyzx/dadou/20211123/414095.html,2021-11-23
截至11月4日当周，中国从美国买入94万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20211115/414093.html,2021-11-15
黑龙江省大豆协会：期货新血液让黑土地焕发新活力,http://www.cnagri.com/lypd/lyzx/dadou/20211126/414092.html,2021-11-26
美国对华大豆出口最新统计：对华销售总量同比减少34.0%,http://www.cnagri.com/lypd/lyzx/dadou/20211115/414090.html,2021-11-15
截至11月18日当周，中国从美国买入88.3万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20211129/414088.html,2021-11-29
美国农业部：上周美国对中国大陆装运132万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20211116/414087.html,2021-11-16
中国趁价格下跌之际购买美国和巴西大豆,http://www.cnagri.com/lypd/lyzx/dadou/20211202/414085.html,2021-12-02
中国大豆压榨利润改善，今年剩下时间里将保持正利润,http://www.cnagri.com/lypd/lyzx/dadou/20211105/413902.html,2021-11-05
截至10月28日当周，中国从美国买入121万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20211105/413901.html,2021-11-05
美国大豆出口恢复元气 连续四届参加中国进博会,http://www.cnagri.com/lypd/lyzx/dadou/20211105/413900.html,2021-11-05
中储粮采购大豆800万吨,http://www.cnagri.com/lypd/lyzx/dadou/20211108/413899.html,2021-11-08
中储粮在进博会签订840万吨进口大豆采购协议,http://www.cnagri.com/lypd/lyzx/dadou/20211109/413898.html,2021-11-09
美国农业部：上周美国对中国大陆装运181万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20211109/413897.html,2021-11-09
11月份中国大豆进口量可能反弹到950万吨,http://www.cnagri.com/lypd/lyzx/dadou/20211110/413896.html,2021-11-10
嘉吉的得克萨斯码头六个月来首次装运大豆,http://www.cnagri.com/lypd/lyzx/dadou/20211013/413628.html,2021-10-13
截至10月7日当周，中国从美国买入64万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20211018/413627.html,2021-10-18
美国农业部：上周美国对中国大陆装运171万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20211019/413626.html,2021-10-19
中国9月进口巴西大豆同比下降18%，因为需求不振,http://www.cnagri.com/lypd/lyzx/dadou/20211020/413625.html,2021-10-20
农业农村部：9月大豆供需形势分析月报,http://www.cnagri.com/lypd/lyzx/dadou/20211021/413624.html,2021-10-21
截至10月14日当周，中国从美国买入188万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20211022/413623.html,2021-10-22
美国农业部：上周美国对中国大陆装运150万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20211026/413622.html,2021-10-26
截至10月21日当周，中国从美国买入108万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20211029/413621.html,2021-10-29
美国对华大豆出口最新统计：对华销售总量同比减少38.3%,http://www.cnagri.com/lypd/lyzx/dadou/20211029/413620.html,2021-10-29
小麦、棉花、豆油价格都在飙升,http://www.cnagri.com/lypd/lyzx/dadou/20211103/413619.html,2021-11-03
美国农业部：上周美国对中国大陆装运6.8万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210922/413329.html,2021-09-22
截至9月16日当周，中国从美国买入62万吨新豆，低于前一周,http://www.cnagri.com/lypd/lyzx/dadou/20210924/413328.html,2021-09-24
美国农业部：私人出口商对中国售出13.2万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210910/413327.html,2021-09-10
美国农业部：私人出口商报告对中国销售33.4万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210928/413326.html,2021-09-28
截至9月2日当周，中国从美国买入76万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210913/413325.html,2021-09-13
美国农业部：上周美国对中国大陆装运29万吨大豆，大部分从美湾发货,http://www.cnagri.com/lypd/lyzx/dadou/20210928/413324.html,2021-09-28
美国农业部：上周美国对中国大陆装运6.4万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210914/413323.html,2021-09-14
截至9月23日当周，中国从美国买入77.7万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20211008/413322.html,2021-10-08
中国8月大豆进口实际装船9.11 万吨，同比下降 97.43%,http://www.cnagri.com/lypd/lyzx/dadou/20210914/413321.html,2021-09-14
美国对华大豆出口最新统计：对华销售总量同比减少42.8%,http://www.cnagri.com/lypd/lyzx/dadou/20211008/413320.html,2021-10-08
美国私人出口商取消对中国和未知目的地的33万吨大豆销售合同,http://www.cnagri.com/lypd/lyzx/dadou/20210916/413319.html,2021-09-16
截至9月30日当周，中国从美国买入67万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20211008/413318.html,2021-10-08
中国买入四到六船巴西大豆，10月/11月船期,http://www.cnagri.com/lypd/lyzx/dadou/20210916/413317.html,2021-09-16
美国对华大豆出口最新统计：本年度第一个月对华装运77.5万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20211008/413316.html,2021-10-08
美国农业部：私人出口商报告对中国销售13.2万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210917/413315.html,2021-09-17
大商所：华南是黄大豆二号、棕榈油主要进口区,http://www.cnagri.com/lypd/lyzx/dadou/20211008/413314.html,2021-10-08
截至9月9日当周，中国从美国买入94.5万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210917/413313.html,2021-09-17
美国农业部：私人出口商报告对中国销售13.2万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210922/413312.html,2021-09-22
国家粮油信息中心：预计 2021/22 年度我国大豆进口 10200 万吨,http://www.cnagri.com/lypd/lyzx/dadou/20211008/413311.html,2021-10-08
分析师：预计今年中国大豆进口量可能超出预期,http://www.cnagri.com/lypd/lyzx/dadou/20210831/413100.html,2021-08-31
美国农业部：私人出口商对中国售出25.6万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210831/413099.html,2021-08-31
美国对华大豆出口最新统计：对华销售总量同比增长112%,http://www.cnagri.com/lypd/lyzx/dadou/20210903/413098.html,2021-09-03
截至8月26日当周，中国从美国买入2.6万吨陈豆和126.4万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210903/413097.html,2021-09-03
美国农业部：私人出口商对中国售出12.6万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210903/413096.html,2021-09-03
美国农业部：私人出口商对中国售出13万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210906/413095.html,2021-09-06
海关总署：中国1,http://www.cnagri.com/lypd/lyzx/dadou/20210907/413094.html,2021-09-07
8月份中国大豆进口量环比增长9.4%，同比降低1.2%,http://www.cnagri.com/lypd/lyzx/dadou/20210908/413093.html,2021-09-08
美国对华大豆出口最新统计：对华销售总量同比增长113%,http://www.cnagri.com/lypd/lyzx/dadou/20210827/413092.html,2021-08-27
截至8月19日当周，中国从美国买入9万吨陈豆和93万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210827/413091.html,2021-08-27
美国农业部：私人出口商对中国售出13.2万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210813/412665.html,2021-08-13
美国农业部：上周美国对中国大陆装运近15万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210817/412664.html,2021-08-17
美国农业部：私人出口商对中国和未知目的地售出33万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210818/412663.html,2021-08-18
美国农业部：私人出口商对中国售出13.1万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210819/412662.html,2021-08-19
截至8月12日当周，中国从美国买入9.23万吨陈豆和103万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210820/412661.html,2021-08-20
美国对华大豆出口最新统计：对华销售总量同比增长1.15倍,http://www.cnagri.com/lypd/lyzx/dadou/20210820/412660.html,2021-08-20
截至8月12日当周，中国从美国买入9.23万吨陈豆和103万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210823/412659.html,2021-08-23
中国农业部调低2020/21年度大豆进口预测,http://www.cnagri.com/lypd/lyzx/dadou/20210813/412658.html,2021-08-13
美国对华大豆出口最新统计：对华销售总量同比增长1.15倍,http://www.cnagri.com/lypd/lyzx/dadou/20210823/412657.html,2021-08-23
美国农业部调低中国大豆进口预测值,http://www.cnagri.com/lypd/lyzx/dadou/20210813/412656.html,2021-08-13
美国农业部：上周美国对中国大陆装运近7万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210824/412655.html,2021-08-24
截至8月5日当周，中国从美国买入8.45万吨陈豆和32.8万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210813/412654.html,2021-08-13
美国农业部：私人出口商对中国售出13.2万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210825/412653.html,2021-08-25
“豆状元”上榜“2021年度中国豆制品行业品牌企业50强”,http://www.cnagri.com/lypd/lyzx/dadou/20210415/412573.html,2021-04-15
先正达集团首艘大豆货船抵达中国 成功试运行全球农业价值链闭环运营商业模式,http://www.cnagri.com/lypd/lyzx/dadou/20210527/412572.html,2021-05-27
黑河打造现代大豆产业发展全国样板,http://www.cnagri.com/lypd/lyzx/dadou/20210420/412571.html,2021-04-20
截至5月20日当周，中国买入2万吨美国新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210528/412570.html,2021-05-28
海关总署：中国3月从美国进口大豆同比激增320% 从巴西进口骤降,http://www.cnagri.com/lypd/lyzx/dadou/20210420/412569.html,2021-04-20
黑土地上的巴彦大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210601/412568.html,2021-06-01
北大荒集团九三分公司在第五届中国大豆食品节上彰显品牌魅力,http://www.cnagri.com/lypd/lyzx/dadou/20210421/412567.html,2021-04-21
截至5月27日当周，中国买入1万吨美国新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210607/412566.html,2021-06-07
重庆綦江：无人机助力春耕 10小时播种大豆百亩,http://www.cnagri.com/lypd/lyzx/dadou/20210421/412565.html,2021-04-21
5月上半月大豆实际到港325.56万吨，同比上升25.75%,http://www.cnagri.com/lypd/lyzx/dadou/20210609/412564.html,2021-06-09
